,,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Utility-Scale Battery Storage - 2Hr,Advanced,1290.351247,1278.180752,1073.31034,867.9884263,835.730012,803.4428398,771.205529,738.9827178,706.079904,695.4316299,684.7833707,674.7955362,664.146665,652.791998,642.8074477,632.1577124,621.5079338,610.858109,600.8816891,590.2312802,578.8601838,568.2090037,558.2366898,547.5848485,536.9328473,526.2806739,516.3201018,505.6674182,494.2712199
Utility-Scale Battery Storage - 2Hr,Moderate,1290.351247,1278.180752,1200.696804,1068.896874,1043.405862,1017.962027,992.5710699,967.2396527,941.9756032,930.4660234,918.9484372,907.4225327,895.8879815,884.3444377,872.791537,861.2288946,849.6561048,838.0727387,826.4783433,814.8724389,803.2545178,791.6240421,779.9804411,768.323109,756.6514022,744.9646364,733.2620828,721.5429651,709.8064551
Utility-Scale Battery Storage - 2Hr,Conservative,1290.351247,1278.180752,1343.150295,1325.923902,1283.728955,1241.490345,1199.203462,1156.863022,1114.462941,1107.542153,1100.621364,1093.700576,1086.779787,1079.858999,1072.938211,1066.017422,1059.096634,1052.175845,1045.255057,1038.334269,1031.41348,1024.492692,1017.571903,1010.651115,1003.730327,996.8095383,989.8887499,982.9679615,976.0471731
Utility-Scale Battery Storage - 4Hr,Advanced,2100.778231,2080.296182,1735.514327,1390.744441,1336.112158,1281.480637,1226.847794,1172.214566,1117.599366,1099.821595,1082.043825,1064.248547,1046.470793,1028.711749,1010.916384,993.1386525,975.3609223,957.5831934,939.7876127,922.0098993,904.251291,886.473598,868.6779085,850.900233,833.1225618,815.3448951,797.5488943,779.7712411,762.0132983
Utility-Scale Battery Storage - 4Hr,Moderate,2100.778231,2080.296182,1938.20367,1711.402977,1659.394139,1607.381486,1555.364557,1503.342813,1451.315621,1430.530431,1409.745888,1388.962018,1368.178848,1347.396404,1326.614717,1305.833818,1285.053739,1264.274516,1243.496185,1222.718784,1201.942355,1181.166942,1160.392589,1139.619347,1118.847268,1098.076406,1077.306821,1056.538576,1035.771737
Utility-Scale Battery Storage - 4Hr,Conservative,2100.778231,2080.296182,2189.537982,2159.942734,2082.934892,2005.928063,1928.922354,1851.917888,1774.914807,1763.472048,1752.029289,1740.586531,1729.143772,1717.701013,1706.258255,1694.815496,1683.372737,1671.929978,1660.48722,1649.044461,1637.601702,1626.158944,1614.716185,1603.273426,1591.830667,1580.387909,1568.94515,1557.502391,1546.059633
Utility-Scale Battery Storage - 6Hr,Advanced,2911.205215,2882.411612,2397.718315,1913.500457,1836.494304,1759.518433,1682.490058,1605.446415,1529.118827,1504.211561,1479.304279,1453.701558,1428.79492,1404.6315,1379.02532,1354.119593,1329.213911,1304.308278,1278.693536,1253.788518,1229.642398,1204.738192,1179.119127,1154.215617,1129.312276,1104.409116,1078.777687,1053.875064,1029.755377
Utility-Scale Battery Storage - 6Hr,Moderate,2911.205215,2882.411612,2675.710536,2353.90908,2275.382415,2196.800945,2118.158044,2039.445973,1960.655639,1930.594839,1900.54334,1870.501504,1840.469714,1810.44837,1780.437897,1750.438741,1720.451374,1690.476294,1660.514026,1630.565129,1600.630193,1570.709841,1540.804738,1510.915586,1481.043134,1451.188176,1421.35156,1391.534187,1361.737019
Utility-Scale Battery Storage - 6Hr,Conservative,2911.205215,2882.411612,3035.92567,2993.961567,2882.140829,2770.36578,2658.641246,2546.972755,2435.366673,2419.401944,2403.437215,2387.472486,2371.507757,2355.543028,2339.578299,2323.61357,2307.648841,2291.684111,2275.719382,2259.754653,2243.789924,2227.825195,2211.860466,2195.895737,2179.931008,2163.966279,2148.00155,2132.036821,2116.072092
Utility-Scale Battery Storage - 8Hr,Advanced,3721.632199,3684.527042,3059.922302,2436.256472,2336.87645,2237.55623,2138.132323,2038.678263,1940.638289,1908.601527,1876.564734,1843.154568,1811.119048,1780.551251,1747.134256,1715.100533,1683.066899,1651.033362,1617.59946,1585.567137,1555.033505,1523.002787,1489.560346,1457.531002,1425.501991,1393.473337,1360.006479,1327.978887,1297.497455
Utility-Scale Battery Storage - 8Hr,Moderate,3721.632199,3684.527042,3413.217401,2996.415182,2891.370692,2786.220404,2680.951531,2575.549133,2469.995657,2430.659246,2391.340791,2352.04099,2312.76058,2273.500337,2234.261077,2195.043665,2155.849009,2116.678071,2077.531868,2038.411475,1999.31803,1960.252741,1921.216886,1882.211824,1843.239,1804.299946,1765.396299,1726.529798,1687.702301
Utility-Scale Battery Storage - 8Hr,Conservative,3721.632199,3684.527042,3882.313357,3827.9804,3681.346765,3534.803497,3388.360137,3242.027621,3095.818539,3075.331839,3054.84514,3034.358441,3013.871741,2993.385042,2972.898343,2952.411643,2931.924944,2911.438244,2890.951545,2870.464846,2849.978146,2829.491447,2809.004748,2788.518048,2768.031349,2747.54465,2727.05795,2706.571251,2686.084552
Utility-Scale Battery Storage - 10Hr,Advanced,4532.059183,4486.642472,3722.12629,2959.012487,2837.258595,2715.594027,2593.774588,2471.910111,2352.15775,2312.991492,2273.825188,2232.607579,2193.443176,2156.471002,2115.243192,2076.081473,2036.919888,1997.758447,1956.505384,1917.345756,1880.424613,1841.267381,1800.001564,1760.846387,1721.691705,1682.537559,1641.235272,1602.08271,1565.239533
Utility-Scale Battery Storage - 10Hr,Moderate,4532.059183,4486.642472,4150.724267,3638.921285,3507.358968,3375.639864,3243.745017,3111.652294,2979.335675,2930.723654,2882.138242,2833.580475,2785.051446,2736.552303,2688.084258,2639.648588,2591.246644,2542.879849,2494.549709,2446.25782,2398.005867,2349.79564,2301.629034,2253.508063,2205.434865,2157.411716,2109.441037,2061.525409,2013.667583
Utility-Scale Battery Storage - 10Hr,Conservative,4532.059183,4486.642472,4728.701045,4661.999233,4480.552702,4299.241214,4118.079029,3937.082487,3756.270404,3731.261735,3706.253065,3681.244395,3656.235726,3631.227056,3606.218386,3581.209717,3556.201047,3531.192378,3506.183708,3481.175038,3456.166369,3431.157699,3406.149029,3381.14036,3356.13169,3331.12302,3306.114351,3281.105681,3256.097011
