,,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Utility-Scale Battery Storage - 2Hr,Advanced,28.6215701,28.32803382,23.38682969,18.43473596,17.65670556,16.87798155,16.10046014,15.32328843,14.52971596,14.27289364,14.01607167,13.77517828,13.51834155,13.24448196,13.00366777,12.74681021,12.48995159,12.23309187,11.99247378,11.73559996,11.46134411,11.2044517,10.96393264,10.70702428,10.45011206,10.19319569,9.952959828,9.696031149,9.42116988
Utility-Scale Battery Storage - 2Hr,Moderate,28.6215701,28.32803382,26.4592232,23.28038272,22.66557314,22.05190139,21.439505,20.82854463,20.21920908,19.9416132,19.66382421,19.3858346,19.10763643,18.82922139,18.55058066,18.27170497,17.99258455,17.71320904,17.43356751,17.15364841,16.87343948,16.59292774,16.31209944,16.03093997,15.7494338,15.46756442,15.18531426,14.9026646,14.61959546
Utility-Scale Battery Storage - 2Hr,Conservative,28.6215701,28.32803382,29.89501348,29.47953561,28.46184915,27.4431096,26.42320575,25.40201018,24.37937616,24.21245587,24.04553558,23.87861529,23.71169501,23.54477472,23.37785443,23.21093414,23.04401386,22.87709357,22.71017328,22.54325299,22.37633271,22.20941242,22.04249213,21.87557184,21.70865156,21.54173127,21.37481098,21.20789069,21.04097041
Utility-Scale Battery Storage - 4Hr,Advanced,48.168,47.674,39.35831643,31.04292153,29.72526291,28.40762268,27.08995057,25.77226918,24.45502258,24.02624621,23.59746984,23.16827121,22.73949522,22.31117051,21.88196978,21.45319434,21.02441894,20.59564357,20.16643764,19.73766264,19.30934843,18.88057392,18.45136536,18.02259128,17.5938173,17.16504343,16.73582736,16.30705382,15.87875566
Utility-Scale Battery Storage - 4Hr,Moderate,48.168,47.674,44.24691603,38.77678245,37.52239788,36.2679213,35.01334158,33.75864573,32.50381849,32.00250712,31.50121137,30.99993184,30.49866917,29.99742405,29.49619717,28.99498929,28.49380121,27.99263375,27.4914878,26.9903643,26.48926424,25.98818867,25.48713869,24.9861155,24.48512034,23.98415456,23.48321956,22.98231688,22.48144811
Utility-Scale Battery Storage - 4Hr,Conservative,48.168,47.674,50.30876812,49.59496978,47.73764219,45.88033905,44.02306292,42.16581678,40.30860402,40.03261978,39.75663553,39.48065128,39.20466703,38.92868279,38.65269854,38.37671429,38.10073005,37.8247458,37.54876155,37.27277731,36.99679306,36.72080881,36.44482456,36.16884032,35.89285607,35.61687182,35.34088758,35.06490333,34.78891908
Utility-Scale Battery Storage - 6Hr,Advanced,67.7144299,67.01996618,55.32980316,43.6511071,41.79382026,39.93726381,38.079441,36.22124993,34.3803292,33.77959879,33.17886801,32.56136413,31.9606489,31.37785906,30.76027178,30.15957848,29.55888629,28.95819527,28.3404015,27.73972531,27.15735274,26.55669614,25.93879808,25.33815828,24.73752254,24.13689117,23.51869489,22.91807648,22.33634144
Utility-Scale Battery Storage - 6Hr,Moderate,67.7144299,67.01996618,62.03460885,54.27318219,52.37922262,50.48394121,48.58717816,46.68874684,44.78842791,44.06340105,43.33859853,42.61402908,41.88970191,41.1656267,40.44181368,39.71827361,38.99501786,38.27205846,37.54940809,36.8270802,36.10508901,35.3834496,34.66217794,33.94129103,33.22080689,32.50074469,31.78112486,31.06196915,30.34330076
Utility-Scale Battery Storage - 6Hr,Conservative,67.7144299,67.01996618,70.72252275,69.71040396,67.01343523,64.31756849,61.62292009,58.92962338,56.23783189,55.85278368,55.46773548,55.08268727,54.69763906,54.31259086,53.92754265,53.54249444,53.15744624,52.77239803,52.38734982,52.00230162,51.61725341,51.2322052,50.847157,50.46210879,50.07706058,49.69201238,49.30696417,48.92191596,48.53686776
Utility-Scale Battery Storage - 8Hr,Advanced,87.26085979,86.36593236,71.30128989,56.25929267,53.86237762,51.46690493,49.06893143,46.67023068,44.30563581,43.53295137,42.76026618,41.95445706,41.18180257,40.44454762,39.63857378,38.86596262,38.09335364,37.32074698,36.51436536,35.74178798,35.00535706,34.23281837,33.4262308,32.65372528,31.88122777,31.1087389,30.30156243,29.52909915,28.79392721
