Hour,Solar PV Generation (MW),Solar PV Curtailment (MW),Wind Generation (MW),Wind Curtailment (MW),Gas CC Generation (MW),Power from Storage and Gas CC to Storage (MW)
1,0.0,0.0,0.0,0.0,30758.742,10244.11
2,0.0,0.0,0.0,0.0,30758.742,11162.678999999996
3,0.0,0.0,0.0,0.0,30758.742,11579.448000000004
4,0.0,0.0,0.0,0.0,30758.742,11838.854
5,0.0,0.0,0.0,0.0,30758.742,11854.127
6,0.0,0.0,0.0,0.0,30758.742,11583.838000000003
7,0.0,0.0,0.0,0.0,30758.742,10927.337
8,0.0,0.0,0.0,0.0,30758.742,10776.649999999994
9,0.0,0.0,0.0,0.0,30758.742,10986.309000000001
10,0.0,0.0,0.0,0.0,30758.742,11708.607999999993
11,0.0,0.0,0.0,0.0,30758.742,12281.263999999996
12,0.0,0.0,0.0,0.0,30758.742,12903.634000000005
13,0.0,0.0,0.0,0.0,30758.742,13347.080000000002
14,0.0,0.0,0.0,0.0,30758.742,13330.572
15,0.0,0.0,0.0,0.0,30758.742,12686.580000000002
16,0.0,0.0,0.0,0.0,30758.742,11698.808000000005
17,0.0,0.0,0.0,0.0,30758.742,9563.148000000001
18,0.0,0.0,0.0,0.0,30758.742,6049.726000000002
19,0.0,0.0,0.0,0.0,30758.742,5419.216
20,0.0,0.0,0.0,0.0,30758.742,5471.1435
21,0.0,0.0,0.0,0.0,30758.742,5501.421999999999
22,0.0,0.0,0.0,0.0,30758.742,6292.346000000001
23,0.0,0.0,0.0,0.0,30758.742,7863.904000000002
24,0.0,0.0,0.0,0.0,30758.742,9588.282000000007
25,0.0,0.0,0.0,0.0,30758.742,10657.517999999996
26,0.0,0.0,0.0,0.0,30758.742,11452.449
27,0.0,0.0,0.0,0.0,30758.742,11713.596000000005
28,0.0,0.0,0.0,0.0,30758.742,11620.951000000001
29,0.0,0.0,0.0,0.0,30758.742,10721.171999999999
30,0.0,0.0,0.0,0.0,30758.742,9315.082000000002
31,0.0,0.0,0.0,0.0,30758.742,7415.268000000004
32,0.0,0.0,0.0,0.0,30758.742,6129.248
33,0.0,0.0,0.0,0.0,30758.742,5816.0869999999995
34,0.0,0.0,0.0,0.0,30758.742,6492.703999999998
35,0.0,0.0,0.0,0.0,30758.742,7437.740000000002
36,0.0,0.0,0.0,0.0,30758.742,8357.226999999999
37,0.0,0.0,0.0,0.0,30758.742,8893.795999999998
