Hour,Technology,Charging power (MW),Discharging power (MW),State of charge (MWh)
1,Li-Ion,15059.18978757252,0.0,13965.31809412126
1,CAES,0.0,0.0,0.0
1,PHS,0.0,0.0,0.0
1,H2,0.0,0.0,0.0
2,Li-Ion,15979.27514757254,-1.251464709639549e-11,28783.88824943562
2,CAES,0.0,-0.0,0.0
2,PHS,-1.979060471057892e-11,0.0,-1.750098292158825e-11
2,H2,0.0,0.0,0.0
3,Li-Ion,16398.46231757253,-0.0,43991.19659402862
3,CAES,0.0,-0.0,0.0
3,PHS,-0.0,0.0,-1.750098292158825e-11
3,H2,0.0,0.0,0.0
4,Li-Ion,16658.69556757251,-0.0,59439.83532665588
4,CAES,0.0,-0.0,0.0
4,PHS,-0.0,-2.275919541716575e-11,0.0
4,H2,0.0,0.0,0.0
5,Li-Ion,16674.18193757253,-0.0,74902.83552800918
5,CAES,0.0,-0.0,-0.0
5,PHS,-3.637978807091713e-12,-2.844899427145719e-12,0.0
5,H2,0.0,0.0,0.0
6,Li-Ion,16406.05965757252,-0.0,90117.18935587622
6,CAES,0.0,0.0,-0.0
6,PHS,9.74978320300579e-10,9.602074295751163e-10,-2.236488462018763e-10
6,H2,0.0,-0.0,0.0
7,Li-Ion,-0.0,83571.24339727504,-8.817830564453672e-10
7,CAES,0.0,0.0,0.0
7,PHS,99331.82144484756,0.0,87839.88847734783
7,H2,0.0,0.0,0.0
8,Li-Ion,93323.04632744358,-0.0,86544.23284781743
8,CAES,0.0,-0.0,-0.0
8,PHS,-1.957232598215342e-09,77677.4843698691,0.0
8,H2,0.0,0.0,0.0
9,Li-Ion,-0.0,80257.81984160066,-1.455191522836685e-11
9,CAES,0.0,0.0,-0.0
9,PHS,96125.87111917319,0.0,85004.84211481341
9,H2,0.0,0.0,0.0
10,Li-Ion,91751.53453276595,-0.0,85086.87276331711
10,CAES,0.0,0.0,-0.0
10,PHS,0.0,75170.43121519341,-0.0
10,H2,0.0,0.0,0.0
11,Li-Ion,-0.0,78906.31969817869,1.455191522836685e-11
11,CAES,0.0,0.0,-0.0
11,PHS,96053.66422575121,0.0,84940.98900738798
11,H2,0.0,0.0,0.0
12,Li-Ion,92882.45367210996,0.0,86135.6440280702
12,CAES,0.0,0.0,-0.0
12,PHS,-4.113928962687175e-12,75113.96542453745,-3.637978807091713e-12
12,H2,0.0,0.0,0.0
13,Li-Ion,-0.0,79878.91015801458,-0.0
13,CAES,0.0,0.0,-0.0
13,PHS,98093.3908955871,0.0,86744.73488254177
13,H2,0.0,0.0,0.0
14,Li-Ion,94909.46520792163,-0.0,88015.4171949788
14,CAES,0.0,0.0,0.0
14,PHS,-0.0,76709.0316803491,-0.0
14,H2,0.0,0.0,0.0
15,Li-Ion,-0.0,81622.14007881259,-0.0
15,CAES,0.0,0.0,-0.0
15,PHS,99174.54016638512,0.0,87700.80344136704
15,H2,0.0,0.0,0.0
16,Li-Ion,94093.60614768568,-3.584924577974343e-12,87258.82062790662
16,CAES,0.0,-0.0,-0.0
16,PHS,0.0,77554.49041011315,-0.0
16,H2,0.0,0.0,0.0
17,Li-Ion,-0.0,80920.50128700968,0.0
17,CAES,0.0,0.0,-0.0
17,PHS,95313.02532458221,0.0,84286.03636950855
17,H2,0.0,0.0,0.0
18,Li-Ion,85416.71891139582,-0.0,79212.20643212779
18,CAES,0.0,0.0,0.0
18,PHS,0.0,74534.78580382328,-0.0
18,H2,0.0,0.0,0.0
19,Li-Ion,-0.0,73458.37826380039,-0.0
19,CAES,0.0,-0.0,0.0
19,PHS,83712.11503137292,-0.0,74027.26278045261
19,H2,0.0,0.0,0.0
20,Li-Ion,75773.47156210615,-0.0,70269.42673462653
20,CAES,0.0,-0.0,0.0
20,PHS,-0.0,65462.87395453362,0.0
20,H2,0.0,0.0,0.0
21,Li-Ion,-0.0,65165.18554341128,-0.0
21,CAES,-0.0,0.0,0.0
21,PHS,75508.7595509838,-0.0,66772.97286553835
21,H2,-0.0,0.0,0.0
22,Li-Ion,57946.49811830133,-0.0,53737.37166990862
22,CAES,-0.0,0.0,0.0
22,PHS,-0.0,59047.84996886933,0.0
22,H2,0.0,-0.0,0.0
23,Li-Ion,-0.0,49833.98838173914,-0.0
23,CAES,-0.0,-0.0,0.0
23,PHS,26997.25652173914,-0.0,23873.88016820597
23,H2,-0.0,0.0,0.0
24,Li-Ion,-0.0,-0.0,0.0
24,CAES,-0.0,-0.0,0.0
24,PHS,-0.0,21111.8546,0.0
24,H2,-0.0,-0.0,0.0
